"id","category","subcategory","question","answer","keywords","difficulty","source","source_url","medical_safety_level"
161,"Donor Eligibility","a","Can a person with asthma donate blood?","Individuals with mild or seasonal asthma who are currently symptom-free and not experiencing active wheezing can donate. Those on systemic oral corticosteroid therapy or experiencing acute breathlessness must be deferred.","asthma blood donation,wheezing,inhalers","intermediate","National Blood Transfusion Council (NBTC / MoHFW India)","https://nbtc.naco.gov.in/","educational"
162,"Donor Eligibility","you","Can you donate blood after getting a tattoo or body piercing?","Most guidelines require a temporary deferral of 6 to 12 months after getting a tattoo, cosmetic micro-pigmentation, or body piercing to ensure no window-period transmission of bloodborne Hepatitis B, C, or HIV.","tattoo deferral,piercing,6 months,hepatitis window","beginner","National Blood Transfusion Council (NBTC / MoHFW India)","https://nbtc.naco.gov.in/","educational"
163,"Donor Eligibility","a","Can a woman donate blood during menstruation?","Yes, women can donate blood during menstruation provided they feel completely well, have no severe pain or dysmenorrhea, and meet the minimum hemoglobin requirement of $\ge 12.5\text{ g/dL}$.","menstruation blood donation,period,hemoglobin","beginner","National Blood Transfusion Council (NBTC / MoHFW India)","https://nbtc.naco.gov.in/","educational"
164,"Donor Eligibility","a","Can a pregnant or breastfeeding woman donate blood?","Pregnant women are deferred during pregnancy and for 6 to 12 months post-delivery (and during lactation) to protect maternal iron reserves and fetal nutritional demands.","pregnancy deferral,breastfeeding,maternal health","beginner","National Blood Transfusion Council (NBTC / MoHFW India)","https://nbtc.naco.gov.in/","educational"
165,"Donor Eligibility","someone","Can someone who recently had dental surgery donate blood?","Minor dental cleaning or fillings require a 24-hour deferral. Tooth extractions, root canal procedures, or periodontal surgery require a 72-hour to 7-day deferral to prevent transient bacteremia.","dental surgery deferral,tooth extraction,bacteremia","intermediate","National Blood Transfusion Council (NBTC / MoHFW India)","https://nbtc.naco.gov.in/","educational"
166,"Donor Eligibility","someone","Can someone who had COVID-19 donate blood?","Donors fully recovered from COVID-19 who have been free of all symptoms for at least 14 to 28 days are eligible to donate whole blood.","COVID-19 donation,recovery interval,coronavirus","beginner","National Blood Transfusion Council (NBTC / MoHFW India)","https://nbtc.naco.gov.in/","educational"
167,"Donor Eligibility","you","Can you donate blood after receiving a vaccine?","Inactivated vaccines (flu shot, COVID-19 mRNA) typically have no waiting period or a 14-day deferral. Live attenuated vaccines (MMR, yellow fever, oral polio) require a 4-week deferral period.","vaccination deferral,live vaccines,flu shot","intermediate","National Blood Transfusion Council (NBTC / MoHFW India)","https://nbtc.naco.gov.in/","educational"
168,"Donor Eligibility","a","Can a person with high cholesterol donate blood?","Yes. High cholesterol or taking statins (such as atorvastatin) does not disqualify someone from donating whole blood, as lipid levels do not harm the recipient.","cholesterol blood donation,statins,lipids","beginner","National Blood Transfusion Council (NBTC / MoHFW India)","https://nbtc.naco.gov.in/","educational"
169,"Donor Eligibility","someone","Can someone with a history of cancer donate blood?","Most solid tumor cancers require a minimum 5-year disease-free deferral following completion of treatment. Individuals with hematological malignancies (leukemia, lymphoma, myeloma) are permanently deferred.","cancer deferral,leukemia,lymphoma,5 years","intermediate","National Blood Transfusion Council (NBTC / MoHFW India)","https://nbtc.naco.gov.in/","educational"
170,"Donor Eligibility","are","Why are people who had Hepatitis B or C deferred?","Anyone testing positive for Hepatitis B surface antigen (HBsAg) or Hepatitis C antibodies (anti-HCV) is permanently deferred from blood donation due to high risks of transmitting viral hepatitis to recipients.","hepatitis B deferral,hepatitis C,viral transmission","intermediate","National Blood Transfusion Council (NBTC / MoHFW India)","https://nbtc.naco.gov.in/","educational"
171,"Blood Testing and Screening","mandatory","What mandatory tests are performed on every donated blood unit?","Every single donated blood unit is tested for ABO and Rh blood groups and screened for five transfusion-transmissible infections (TTIs): HIV-1 and HIV-2, Hepatitis B (HBV), Hepatitis C (HCV), Syphilis, and Malaria.","mandatory blood testing,TTI,HIV,Hepatitis,Syphilis,Malaria","beginner","World Health Organization (WHO) Blood Safety","https://www.who.int/initiatives/blood-safety","educational"
172,"Blood Testing and Screening","is","What is Nucleic Acid Testing (NAT)?","Nucleic Acid Testing (NAT) is an ultra-sensitive molecular diagnostic technique that detects viral RNA/DNA (HIV, HBV, HCV) directly before the donor's immune system produces detectable antibodies, shrinking the diagnostic window period.","NAT testing,nucleic acid test,viral RNA,window period","intermediate","World Health Organization (WHO) Blood Safety","https://www.who.int/initiatives/blood-safety","educational"
173,"Blood Testing and Screening","is","What is the window period for infectious diseases?","The window period is the initial time span between when a donor becomes infected with a pathogen and when standard laboratory assays can reliably detect the virus or its antibodies.","window period,early infection,antibody detection","intermediate","World Health Organization (WHO) Blood Safety","https://www.who.int/initiatives/blood-safety","educational"
174,"Blood Testing and Screening","is","What is serological testing in blood banks?","Serological testing detects antibodies or antigens in donor serum using enzyme-linked immunosorbent assays (ELISA) or chemiluminescence immunoassay (CLIA) technologies.","serology,ELISA,CLIA,antibody testing","intermediate","World Health Organization (WHO) Blood Safety","https://www.who.int/initiatives/blood-safety","educational"
175,"Blood Testing and Screening","happens","What happens if a donated blood unit tests positive for an infection?","If a unit tests reactive on screening assays, the blood unit is immediately quarantined and safely biohazard-incinerated. It is NEVER transfused. The donor is confidentially notified and guided for medical evaluation.","positive blood test,unit destruction,donor notification","beginner","World Health Organization (WHO) Blood Safety","https://www.who.int/initiatives/blood-safety","educational"
176,"Blood Testing and Screening","blood","Can blood banks test blood before collecting it from the donor?","No. Standard blood testing requires complex automated laboratory platforms and incubations lasting several hours; thus, collection tubes are drawn concurrently and tested in central labs while the unit is held in quarantine.","testing timeline,quarantine,concurrent tube collection","beginner","World Health Organization (WHO) Blood Safety","https://www.who.int/initiatives/blood-safety","educational"
177,"Blood Testing and Screening","is","What is bacterial testing in platelets?","Because platelets are stored at room temperature (20°C to 24°C), they carry a higher risk of bacterial contamination; blood centers perform automated bacterial culture or rapid immunoassay screening prior to release.","bacterial culture,platelet contamination,BacT/ALERT","advanced","World Health Organization (WHO) Blood Safety","https://www.who.int/initiatives/blood-safety","educational"
178,"Blood Storage and Transportation","temperature","What temperature must packed red blood cells be stored at?","Packed red blood cells must be stored continuously between 1°C and 6°C in monitored, calibrated medical blood bank refrigerators with automated temperature logs and alarm systems.","RBC storage temperature,1 to 6 degrees,refrigeration","beginner","Drug Controller General of India (DCGI) / AABB Standards","https://cdsco.gov.in/","educational"
179,"Blood Storage and Transportation","temperature","What temperature must platelets be stored at?","Platelets must be kept at 20°C to 24°C (room temperature) under continuous gentle mechanical agitation to prevent aggregation and maintain hemostatic function.","platelet storage temperature,20 to 24 degrees,agitator","beginner","Drug Controller General of India (DCGI) / AABB Standards","https://cdsco.gov.in/","educational"
180,"Blood Storage and Transportation","temperature","What temperature must Fresh Frozen Plasma (FFP) be stored at?","Fresh Frozen Plasma must be stored frozen at -18°C or colder (optimally -25°C to -30°C or colder), which maintains coagulation factor potency for up to one year.","FFP storage temperature,-18C,-30C,freezer","beginner","Drug Controller General of India (DCGI) / AABB Standards","https://cdsco.gov.in/","educational"
181,"Blood Storage and Transportation","is","How is blood safely transported between blood banks and hospitals?","Blood is transported in validated thermal cold boxes or dynamic battery-powered refrigerated transport containers equipped with calibrated continuous temperature loggers to ensure temperatures stay between 1°C and 10°C in transit.","blood transport,cold box,temperature logger,validation","intermediate","Drug Controller General of India (DCGI) / AABB Standards","https://cdsco.gov.in/","educational"
182,"Blood Storage and Transportation","is","What is the 30-minute rule for returned blood units?","If a refrigerated blood unit is removed from blood bank storage and not transfused, it must be returned to the blood bank within 30 minutes; otherwise, its temperature exceeds 10°C and it must be discarded to prevent bacterial growth.","30-minute rule,blood return,bacterial growth,spoilage","intermediate","Drug Controller General of India (DCGI) / AABB Standards","https://cdsco.gov.in/","educational"
183,"Blood Storage and Transportation","is","What is the cold chain in blood banking?","The blood cold chain is the continuous, unbroken temperature-controlled supply chain from the moment blood is drawn from the donor, through processing, testing, transit, and hospital storage, up to patient infusion.","blood cold chain,logistics,unbroken chain,telemetry","intermediate","Drug Controller General of India (DCGI) / AABB Standards","https://cdsco.gov.in/","educational"
184,"Rare Blood Groups","defines","What defines a rare blood group?","A blood group is officially considered rare if fewer than 1 in 1,000 individuals in a population possesses or lacks a specific red cell antigen phenotype, or extremely rare if fewer than 1 in 10,000 individuals.","rare blood group,definition,1 in 1000,phenotype","beginner","International Blood Group Reference Laboratory (IBGRL)","https://www.ibgrl.blood.co.uk/","educational"
185,"Rare Blood Groups","is","What is the Bombay blood group ($O_h$)?","The Bombay blood group is a rare recessive genetic blood type where individuals fail to inherit the functional FUT1 gene, meaning they cannot synthesize the foundational H antigen on red blood cells.","Bombay blood group,Oh phenotype,FUT1,H antigen","intermediate","International Blood Group Reference Laboratory (IBGRL)","https://www.ibgrl.blood.co.uk/","educational"
186,"Rare Blood Groups","can","Why can Bombay blood group individuals only receive Bombay blood?","Because Bombay individuals lack the H antigen, their immune system develops potent anti-H antibodies alongside anti-A and anti-B. Any normal blood (including universal O-negative, which is rich in H antigen) will cause catastrophic hemolysis.","Bombay blood compatibility,anti-H antibodies,fatal hemolysis","intermediate","International Blood Group Reference Laboratory (IBGRL)","https://www.ibgrl.blood.co.uk/","educational"
187,"Rare Blood Groups","was","How was the Bombay blood group discovered?","The Bombay blood group was discovered in 1952 in Bombay (now Mumbai), India, by Dr. Y. M. Bhende and colleagues when a patient requiring transfusion had blood that agglutinated against every tested ABO group.","discovery of Bombay blood,1952,Dr Bhende,Mumbai","beginner","International Blood Group Reference Laboratory (IBGRL)","https://www.ibgrl.blood.co.uk/","educational"
188,"Rare Blood Groups","is","What is Rh-null blood ('golden blood')?","Rh-null is an exceptionally rare blood phenotype characterized by the complete absence of all 61 antigens in the Rh blood group system. Since its discovery in 1961, fewer than 50 individuals worldwide have been identified with this blood type.","Rh-null,golden blood,lacks all Rh antigens,rare","intermediate","International Blood Group Reference Laboratory (IBGRL)","https://www.ibgrl.blood.co.uk/","educational"
189,"Rare Blood Groups","is","Why is Rh-null blood called 'golden blood'?","It is called 'golden blood' because it can serve as a universal donor red cell unit for anyone in the world with rare Rh-system antibodies; however, finding donors is extraordinarily difficult, and Rh-null individuals can only receive Rh-null blood.","golden blood significance,universal Rh donor","intermediate","International Blood Group Reference Laboratory (IBGRL)","https://www.ibgrl.blood.co.uk/","educational"
190,"Blood Disorders","is","What is anemia?","Anemia is a pathological condition where the blood lacks adequate healthy red blood cells or hemoglobin, impairing tissue oxygenation and causing fatigue, pallor, dizziness, and dyspnea.","anemia,definition,fatigue,pallor,hemoglobin","beginner","World Health Organization (WHO) / Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/ncbddd/blooddisorders/","educational"
191,"Blood Disorders","is","What is iron-deficiency anemia?","Iron-deficiency anemia is the most common nutritional anemia worldwide, resulting from depleted bodily iron stores needed to synthesize the heme moiety of hemoglobin, characterized by microcytic hypochromic red cells.","iron deficiency anemia,microcytic,ferritin","beginner","World Health Organization (WHO) / Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/ncbddd/blooddisorders/","educational"
192,"Blood Disorders","is","What is sickle cell disease?","Sickle cell disease is an autosomal recessive genetic disorder caused by a single point mutation in the $\beta$-globin gene (HbS), producing abnormal hemoglobin that polymerizes under deoxygenation, distorting erythrocytes into rigid sickle shapes.","sickle cell disease,HbS,sickling,vaso-occlusion","intermediate","World Health Organization (WHO) / Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/ncbddd/blooddisorders/","educational"
193,"Blood Disorders","is","What is a sickle cell vaso-occlusive crisis?","A vaso-occlusive crisis is an excruciatingly painful complication where rigid, sickled red blood cells clump together and obstruct microvascular capillaries, depriving tissues and bones of blood flow and oxygen.","vaso-occlusive crisis,sickle pain crisis,ischemia","intermediate","World Health Organization (WHO) / Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/ncbddd/blooddisorders/","educational"
194,"Blood Disorders","is","What is thalassemia?","Thalassemia is an inherited hemoglobinopathy characterized by deficient or absent synthesis of either alpha ($\alpha$) or beta ($\beta$) globin chains of hemoglobin, resulting in chronic microcytic anemia, ineffective erythropoiesis, and hemolysis.","thalassemia,alpha thalassemia,beta thalassemia,globin","intermediate","World Health Organization (WHO) / Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/ncbddd/blooddisorders/","educational"
195,"Blood Disorders","do","Why do patients with Thalassemia Major need lifelong blood transfusions?","Patients with Thalassemia Major cannot produce functional adult hemoglobin (HbA) and experience severe life-threatening anemia; they require regular blood transfusions every 2 to 4 weeks to survive and sustain normal growth.","thalassemia major,chronic transfusions,chelation","intermediate","World Health Organization (WHO) / Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/ncbddd/blooddisorders/","educational"
196,"Blood Disorders","is","What is hemophilia?","Hemophilia is an X-linked recessive genetic bleeding disorder in which the blood fails to clot properly due to deficiency of clotting Factor VIII (Hemophilia A) or Factor IX (Hemophilia B).","hemophilia,bleeding disorder,Factor VIII,Factor IX","beginner","World Health Organization (WHO) / Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/ncbddd/blooddisorders/","educational"
197,"Blood Disorders","is","What is leukemia?","Leukemia is a cancer of blood-forming tissues, including the bone marrow and lymphatic system, characterized by the uncontrolled rapid proliferation of abnormal, immature white blood cells (blasts).","leukemia,blood cancer,bone marrow,blasts","intermediate","World Health Organization (WHO) / Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/ncbddd/blooddisorders/","educational"
198,"Blood Disorders","is","What is deep vein thrombosis (DVT)?","Deep vein thrombosis (DVT) is a serious condition where an abnormal blood clot (thrombus) forms inside deep veins, most commonly in the legs or pelvis, risking life-threatening pulmonary embolism if it dislodges.","deep vein thrombosis,DVT,blood clot,pulmonary embolism","intermediate","World Health Organization (WHO) / Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/ncbddd/blooddisorders/","educational"
199,"Myths and Facts","Does","Myth: Does donating blood make a person permanently weak?","FACT: No! Donating blood does not cause permanent weakness. The body replenishes lost fluid volume within 24 to 48 hours, and bone marrow replaces all donated red blood cells within 4 to 8 weeks.","myth blood donation weakness,energy,recovery","beginner","World Health Organization (WHO) Mythbusters","https://www.who.int/","educational"
200,"Myths and Facts","Can","Myth: Can you catch HIV or Hepatitis from donating blood?","FACT: No! It is physically impossible to catch any infection from donating blood. Blood collection centers use brand new, individually wrapped, sterile, single-use disposable needles that are immediately discarded after one use.","myth catch HIV from donation,sterile equipment","beginner","World Health Organization (WHO) Mythbusters","https://www.who.int/","educational"
201,"Myths and Facts","Does","Myth: Does blood donation reduce sexual drive or fertility?","FACT: No. Blood donation has zero biological connection to sexual potency, hormonal libido, or reproductive fertility in either men or women.","myth sexual drive,fertility,blood donation","beginner","World Health Organization (WHO) Mythbusters","https://www.who.int/","educational"
202,"Myths and Facts","Does","Myth: Does blood donation cause weight gain or obesity?","FACT: No. Donating blood does not cause weight gain or alter your basal metabolic rate. Blood donation actually burns approximately 650 calories as the body synthesizes replacement cells.","myth weight gain,obesity,blood donation","beginner","World Health Organization (WHO) Mythbusters","https://www.who.int/","educational"
203,"Myths and Facts","Is","Myth: Is blood donation painful and agonizing?","FACT: No. Donors experience only a slight sting for 1 to 2 seconds when the sterile needle is inserted. The collection process itself is comfortable and painless.","myth pain,needle sting,comfort","beginner","World Health Organization (WHO) Mythbusters","https://www.who.int/","educational"
204,"Myths and Facts","Can","Myth: Can vegetarians donate blood?","FACT: Yes! Vegetarians can donate blood without issue provided their iron intake is adequate and their pre-donation hemoglobin level meets the standard minimum of $\ge 12.5\text{ g/dL}$.","myth vegetarian blood donation,iron,hemoglobin","beginner","World Health Organization (WHO) Mythbusters","https://www.who.int/","educational"
205,"Myths and Facts","Does","Myth: Does donating blood deplete your body's blood supply permanently?","FACT: No! The human body is a dynamic blood-producing factory. The bone marrow continually produces 2 to 3 million red cells every second, rapidly replacing all donated components.","myth blood depletion,bone marrow regeneration","beginner","World Health Organization (WHO) Mythbusters","https://www.who.int/","educational"
206,"Myths and Facts","Do","Myth: Do people with high blood pressure never qualify to donate?","FACT: No. Individuals with hypertension can donate if their blood pressure is controlled and within safe parameters (systolic 100-140 mm Hg, diastolic 60-90 mm Hg) at the time of screening.","myth high blood pressure donation,hypertension","beginner","World Health Organization (WHO) Mythbusters","https://www.who.int/","educational"
207,"First-Time Donors","First-Time Donors","What should a first-time donor expect?","First-time donors undergo confidential health screening, private vitals and hemoglobin checks, sterile collection lasting 8-12 minutes, followed by 15 minutes of rest with juice and snacks. Total time is under one hour.","first-time donor,process,expectations,screening","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
208,"First-Time Donors","First-Time Donors","Is it normal to be nervous before your first blood donation?","Yes, mild nervousness is very common. Knowing that collection uses sterile single-use needles, causes only a momentary pinch, and saves up to three lives helps first-timers feel confident.","nervousness,first donation,needle fear","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
209,"Pre-Donation Preparation","Pre-Donation Preparation","What should I eat before donating blood?","Eat a healthy, regular meal rich in complex carbohydrates and lean protein 2 to 4 hours before donating. Avoid fatty or greasy foods (like deep-fried snacks or burgers) which cause lipemic plasma that interferes with viral testing.","pre-donation diet,fatty foods,lipemic plasma","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
210,"Pre-Donation Preparation","Pre-Donation Preparation","Why is drinking water before donation so important?","Drinking 500 mL of water 20 to 30 minutes before donation expands intravascular volume, stabilizes blood pressure, makes veins easier to access, and cuts vasovagal fainting episodes by over 50%.","hydration,water intake,vasovagal prevention","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
211,"Post-Donation Care","Post-Donation Care","Can I exercise after donating blood?","Avoid strenuous physical exercise, heavy weightlifting, running, or high-intensity sports for 24 hours after donating to allow your circulatory volume to fully stabilize and avoid hematoma formation at the venipuncture site.","exercise post donation,weightlifting,gym","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
212,"Post-Donation Care","Post-Donation Care","Why did a bruise form at my donation site?","A small bruise (hematoma) can form if a tiny amount of blood seeps from the punctured vein into surrounding tissue. Applying a cold ice pack for 24 hours followed by warm compresses resolves it within a few days.","bruise,hematoma,venipuncture care","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
213,"Blood Clotting","Blood Clotting","What is the coagulation cascade?","The coagulation cascade is a physiological series of enzyme reactions where inactive clotting factor zymogens are sequentially activated, ultimately converting prothrombin to thrombin, which cleaves soluble fibrinogen into an insoluble fibrin mesh.","coagulation cascade,thrombin,fibrin,clotting factors","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
214,"Blood Clotting","Blood Clotting","What role does vitamin K play in blood clotting?","Vitamin K is an indispensable cofactor for gamma-glutamyl carboxylase in the liver, enabling activation of clotting Factors II (prothrombin), VII, IX, and X, as well as regulatory Proteins C and S.","vitamin K,coagulation factors,prothrombin,liver","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
215,"Blood Clotting","Blood Clotting","What role does calcium play in blood clotting?","Calcium (Factor IV) acts as an essential cofactor that binds negatively charged phospholipids on activated platelet membranes with clotting factors; without calcium, blood cannot clot, which is why blood bank collection bags use citrate to bind calcium and prevent clotting.","calcium in clotting,Factor IV,citrate anticoagulant","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
216,"Antibodies","Antibodies","What are isohemagglutinins?","Isohemagglutinins are naturally occurring IgM antibodies directed against ABO antigens absent from an individual's own red blood cells (e.g., anti-A in group B, anti-B in group A).","isohemagglutinins,IgM,ABO antibodies,natural antibodies","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
217,"Antigens","Antigens","What is an erythrocyte antigen?","An erythrocyte antigen is a specific molecular structure (carbohydrate oligosaccharide or transmembrane protein) projecting from the red cell membrane that can be recognized by antibodies.","erythrocyte antigen,surface marker,membrane protein","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
218,"Blood Circulation","Blood Circulation","What is systemic circulation versus pulmonary circulation?","Pulmonary circulation transports deoxygenated blood from the right heart to the lungs for gas exchange and returns oxygenated blood to the left heart. Systemic circulation pumps oxygenated blood from the left heart through arteries to body tissues and returns deoxygenated blood via veins.","systemic circulation,pulmonary circulation,gas exchange","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
219,"Heart and Blood Circulation","Heart and Blood Circulation","How much blood does the heart pump each minute?","At rest, a healthy adult human heart pumps approximately 5 liters of blood per minute (cardiac output), effectively circulating the body's entire blood volume through the vascular tree every 60 seconds.","cardiac output,5 liters per minute,heart pump","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
220,"Blood Pressure","Blood Pressure","What do systolic and diastolic blood pressure numbers mean?","Systolic pressure (the upper number) measures the peak hydrostatic pressure exerted on arterial walls when the heart contracts; diastolic pressure (the lower number) measures arterial pressure during cardiac resting between beats.","systolic,diastolic,blood pressure definition","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
221,"Blood Pressure","Blood Pressure","Why can't someone with severe hypertension donate blood?","Uncontrolled hypertension increases risk of cardiovascular distress, headache, and severe venipuncture bleeding during phlebotomy, posing unacceptable donor safety hazards.","hypertension deferral,high BP risk,donor safety","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
222,"Hospital Blood Management","Hospital Blood Management","What is Patient Blood Management (PBM)?","Patient Blood Management is an evidence-based, multidisciplinary approach that optimizes the patient's own red cell mass, minimizes surgical blood loss, and optimizes anemia management to avoid unnecessary transfusions.","patient blood management,PBM,blood conservation","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
223,"Blood Conservation","Blood Conservation","What is intraoperative cell salvage (autotransfusion)?","Intraoperative cell salvage uses a specialized medical device (cell saver) during surgery to suction shed blood from the operative field, wash and filter red blood cells, and re-infuse them directly into the patient.","cell salvage,cell saver,autotransfusion,blood conservation","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
224,"Emergency Blood Requests","Emergency Blood Requests","What is uncrossmatched emergency blood release?","In catastrophic trauma when a hemorrhaging patient will die before crossmatching can be completed (which takes 30-45 minutes), the hospital blood bank immediately releases emergency uncrossmatched O-negative (or O-positive for adult males) red blood cells.","emergency release,uncrossmatched blood,trauma resuscitation,O negative","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
225,"Emergency Blood Requests","Emergency Blood Requests","What is a massive transfusion protocol (MTP)?","MTP is a rapid response protocol activated in life-threatening hemorrhage that provides pre-balanced ratios of packed red blood cells, fresh frozen plasma, and platelets (typically 1:1:1) to prevent trauma-induced coagulopathy and hypothermia.","massive transfusion protocol,MTP,trauma 1:1:1 ratio","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
226,"Blood Component Utilization","Blood Component Utilization","Why shouldn't whole blood be given to every patient?","Most patients require only a specific missing fraction (e.g., anemic patients need red cells without fluid overload; thrombocytopenic patients need platelets). Fractionating blood conserves resources and avoids circulatory overload.","whole blood vs components,targeted therapy,TACO prevention","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
227,"Common Misconceptions","Common Misconceptions","Can someone who had malaria donate blood after recovery?","In most blood services, individuals who had malaria can donate after completing treatment and remaining completely asymptomatic for 3 years, provided antibody/microscopic screening tests are negative.","malaria recovery donation,3 years deferral","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
228,"Common Misconceptions","Common Misconceptions","Can someone on thyroid medication donate blood?","Yes. Individuals taking thyroid hormone replacement medications (like levothyroxine) can donate blood provided they are clinically euthyroid and feeling healthy.","thyroid medication,levothyroxine,hypothyroidism","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
229,"Student Questions","Student Questions","Why is Type O blood called the universal donor for red cells?","Because Type O red blood cells lack both A and B surface antigens. As a result, the recipient's anti-A or anti-B antibodies cannot recognize or destroy the transfused Type O red cells.","universal donor explanation,lack of antigens,ABO system","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
230,"Student Questions","Student Questions","What is agglutination in blood typing?","Agglutination is the visible clumping together of red blood cells that occurs when specific antibody molecules bind to corresponding antigen molecules on adjacent erythrocyte membranes.","agglutination,blood clumping,antibody antigen binding","intermediate","World Health Organization / National Blood Services","https://www.who.int/campaigns/world-blood-donor-day","educational"
231,"Blood Basics","Education and Guidelines","How does blood basics affect human health?","Understanding blood basics is fundamental to clinical hematology and public health. It ensures accurate diagnosis of circulatory and metabolic conditions and guides safe transfusion practice.","blood basics,guidelines,blood science,safety","beginner","National Blood Transfusion Council / WHO","https://www.who.int/initiatives/blood-safety","educational"
232,"Blood Basics","Education and Guidelines","What are the medical guidelines for blood basics?","Medical standards for blood basics are established by regulatory bodies like WHO, national blood councils, and drug controllers to maximize donor safety, safeguard recipient health, and guarantee cold-chain integrity.","blood basics,guidelines,blood science,safety","intermediate","National Blood Transfusion Council / WHO","https://www.who.int/initiatives/blood-safety","educational"
233,"Blood Basics","Education and Guidelines","Why is blood basics monitored in blood transfusion services?","Blood transfusion centers monitor blood basics to prevent adverse hemolytic and non-hemolytic reactions, reduce infection transmission, and maintain adequate inventory of compatible blood components.","blood basics,guidelines,blood science,safety","intermediate","National Blood Transfusion Council / WHO","https://www.who.int/initiatives/blood-safety","educational"
234,"Blood Basics","Education and Guidelines","What role does blood basics play in donor screening?","During donor screening, protocols evaluating blood basics help ensure that eligible donors are in good health and that donated units meet all biological quality standards.","blood basics,guidelines,blood science,safety","beginner","National Blood Transfusion Council / WHO","https://www.who.int/initiatives/blood-safety","educational"
235,"Blood Basics","Education and Guidelines","What are common misconceptions about blood basics?","Common misconceptions about blood basics often arise from lack of awareness. Evidence-based hematology and authorized blood services clarify that modern blood banking protocols are extremely safe and tightly regulated.","blood basics,guidelines,blood science,safety","beginner","National Blood Transfusion Council / WHO","https://www.who.int/initiatives/blood-safety","educational"
236,"Blood Basics","Education and Guidelines","What is the physiological significance of blood basics?","In human physiology, blood basics contributes directly to circulatory homeostasis, cellular oxygen delivery, immune defense, and vascular equilibrium.","blood basics,guidelines,blood science,safety","intermediate","National Blood Transfusion Council / WHO","https://www.who.int/initiatives/blood-safety","educational"
237,"Blood Basics","Education and Guidelines","What should patients and donors know regarding blood basics?","Patients and donors should know that blood basics is managed using strict medical protocols, and any personalized health decisions should always be reviewed with qualified healthcare providers.","blood basics,guidelines,blood science,safety","beginner","National Blood Transfusion Council / WHO","https://www.who.int/initiatives/blood-safety","educational"
238,"Blood Basics","Education and Guidelines","How does scientific research improve blood basics?","Continuous scientific research in blood basics enhances pathogen inactivation, nucleic acid testing sensitivity, component preservation, and automated apheresis technologies worldwide.","blood basics,guidelines,blood science,safety","intermediate","National Blood Transfusion Council / WHO","https://www.who.int/initiatives/blood-safety","educational"
239,"Blood Basics","Education and Guidelines","What diagnostic laboratory tests evaluate blood basics?","Diagnostic evaluations include complete blood counts (CBC), automated serological assays, molecular nucleic acid testing (NAT), and microfluidic crossmatching.","blood basics,guidelines,blood science,safety","intermediate","National Blood Transfusion Council / WHO","https://www.who.int/initiatives/blood-safety","educational"
